# X_over_Ystar,W,WP,WPP,M,MP,MPP
0.000000000000000000e+00,9.750102899999999462e-01,2.449584900000000010e-01,6.605489699999999784e-04,9.702334700000000423e-01,2.896509099999999837e-01,4.188296999999999853e-02
1.000000000000000056e-01,9.995027399999999451e-01,2.448235400000000062e-01,-3.359426200000000060e-03,9.994033799999999523e-01,2.937006400000000128e-01,3.908276399999999901e-02
2.000000000000000111e-01,1.023961600000000027e+00,2.442865999999999926e-01,-7.379401300000000379e-03,1.028963999999999990e+00,2.974612400000000156e-01,3.609575799999999862e-02
2.999999999999999889e-01,1.048346699999999965e+00,2.433476599999999934e-01,-1.139937599999999926e-02,1.058885300000000029e+00,3.009126599999999985e-01,3.289474099999999818e-02
3.169112199999999935e-01,1.052457100000000034e+00,2.431491400000000136e-01,-1.207920300000000016e-02,1.063974799999999998e+00,3.014635600000000193e-01,3.232993599999999662e-02
4.000000000000000222e-01,1.072617699999999896e+00,2.420067300000000032e-01,-1.541935200000000075e-02,1.089135399999999976e+00,3.040320899999999771e-01,2.945088200000000114e-02
5.000000000000000000e-01,1.096734600000000004e+00,2.402637900000000049e-01,-1.943932699999999930e-02,1.119679799999999892e+00,3.067937299999999867e-01,2.573379400000000081e-02
5.999999999999999778e-01,1.120657100000000073e+00,2.381188599999999878e-01,-2.345930200000000132e-02,1.150481300000000040e+00,3.091686799999999735e-01,2.171165099999999848e-02
6.999999999999999556e-01,1.144344999999999946e+00,2.355719300000000127e-01,-2.747927699999999987e-02,1.181499599999999983e+00,3.111247899999999844e-01,1.735135100000000097e-02
8.000000000000000444e-01,1.167758099999999910e+00,2.326230099999999912e-01,-3.149925199999999842e-02,1.212691100000000022e+00,3.126265500000000030e-01,1.261875900000000023e-02
9.000000000000000222e-01,1.190856200000000031e+00,2.292720799999999892e-01,-3.551922700000000044e-02,1.244008500000000073e+00,3.136349700000000129e-01,7.479024899999999788e-03
1.000000000000000000e+00,1.213599099999999931e+00,2.255191599999999963e-01,-3.953920300000000193e-02,1.275400300000000042e+00,3.141076099999999816e-01,1.896997000000000093e-03
