# Y_over_YO,U_over_Astar,V_over_Astar,W,Mach
0.000000000000000000e+00,9.959047399999999550e-01,0.000000000000000000e+00,9.959047399999999550e-01,9.945501199999999820e-01
4.170000000000000095e-02,9.959257299999999535e-01,-4.325000000000000095e-05,9.959257299999999535e-01,9.945779999999999621e-01
8.329999999999999905e-02,9.959887099999999993e-01,-8.606999999999999417e-05,9.959887099999999993e-01,9.946616400000000136e-01
1.250000000000000000e-01,9.960936999999999708e-01,-1.280200000000000110e-04,9.960937100000000211e-01,9.948010999999999937e-01
1.666999999999999871e-01,9.962407500000000082e-01,-1.686799999999999910e-04,9.962407599999999475e-01,9.949964500000000323e-01
2.083000000000000129e-01,9.964299199999999690e-01,-2.076000000000000046e-04,9.964299399999999585e-01,9.952478000000000158e-01
2.500000000000000000e-01,9.966612900000000330e-01,-2.443599999999999982e-04,9.966613199999999617e-01,9.955552899999999816e-01
2.917000000000000148e-01,9.969349600000000367e-01,-2.784999999999999932e-04,9.969350000000000156e-01,9.959190700000000174e-01
3.332999999999999852e-01,9.972510500000000278e-01,-3.095899999999999954e-04,9.972510999999999459e-01,9.963393699999999464e-01
3.750000000000000000e-01,9.976096899999999934e-01,-3.371700000000000261e-04,9.976097499999999618e-01,9.968164000000000469e-01
4.167000000000000148e-01,9.980110399999999604e-01,-3.607899999999999931e-04,9.980111000000000399e-01,9.973504399999999492e-01
4.582999999999999852e-01,9.984552599999999556e-01,-3.799799999999999771e-04,9.984553400000000245e-01,9.979417800000000005e-01
5.000000000000000000e-01,9.989425600000000349e-01,-3.942799999999999994e-04,9.989426399999999928e-01,9.985907499999999715e-01
5.416999999999999593e-01,9.994731399999999821e-01,-4.032099999999999834e-04,9.994732200000000510e-01,9.992977199999999449e-01
5.833000000000000407e-01,1.000047230000000065e+00,-4.062800000000000200e-04,1.000047310000000023e+00,1.000063090000000043e+00
6.250000000000000000e-01,1.000665080000000096e+00,-4.029899999999999888e-04,1.000665160000000053e+00,1.000887290000000096e+00
6.666999999999999593e-01,1.001326979999999978e+00,-3.928499999999999809e-04,1.001327049999999996e+00,1.001770800000000072e+00
7.083000000000000407e-01,1.002033200000000068e+00,-3.753399999999999944e-04,1.002033270000000087e+00,1.002714120000000042e+00
7.500000000000000000e-01,1.002784059999999977e+00,-3.499199999999999837e-04,1.002784120000000057e+00,1.003717809999999933e+00
7.916999999999999593e-01,1.003579900000000080e+00,-3.160600000000000063e-04,1.003579949999999998e+00,1.004782440000000054e+00
8.333000000000000407e-01,1.004421079999999966e+00,-2.731899999999999780e-04,1.004421119999999945e+00,1.005908650000000071e+00
8.750000000000000000e-01,1.005307979999999990e+00,-2.207499999999999990e-04,1.005308000000000090e+00,1.007097109999999907e+00
9.166999999999999593e-01,1.006240999999999941e+00,-1.581400000000000004e-04,1.006241010000000102e+00,1.008348519999999970e+00
9.583000000000000407e-01,1.007220570000000093e+00,-8.477000000000000323e-05,1.007220570000000093e+00,1.009663640000000084e+00
1.000000000000000000e+00,1.008247139999999931e+00,0.000000000000000000e+00,1.008247139999999931e+00,1.011043270000000049e+00
